DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyVisibility,HourlyDryBulbTemperature,HourlyWetBulbTemperature
2015-01-10T05:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-10T06:51:00,24,0.00,85,VV:09 2,0.50,28,26
2015-01-10T07:51:00,24,0.00,89,VV:09 2,0.25,27,26
2015-01-10T08:51:00,24,0.00,85,VV:09 2,0.25,28,26
2015-01-10T09:51:00,24,0.00,85,VV:09 2,0.25,28,27
2015-01-10T10:51:00,24,0.00,85,VV:09 2,0.25,28,27
2015-01-10T11:51:00,26,0.00,89,VV:09 2,0.25,29,28
2015-01-10T12:51:00,26,0.00,89,VV:09 2,0.25,29,28
2015-01-10T13:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-10T14:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-10T15:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-10T16:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-10T17:51:00,27,0.00,88,VV:09 2,0.50,30,29
2015-01-10T18:30:00,27,,85,VV:09 2,1.00,31,29
2015-01-10T18:44:00,27,,85,OVC:08 3,3.00,31,29
2015-01-10T18:49:00,27,,86,OVC:08 3,2.00,30,29
2015-01-10T18:51:00,27,0.00,85,OVC:08 3,1.75,31,29
2015-01-10T19:28:00,27,,88,OVC:08 2,2.00,30,29
2015-01-10T19:39:00,28,,92,OVC:08 2,3.00,30,29
2015-01-10T19:48:00,28,,93,OVC:08 2,2.50,30,29
2015-01-10T19:51:00,28,0.00,92,OVC:08 2,2.00,30,29
2015-01-10T20:23:00,27,,88,OVC:08 2,3.00,30,29
2015-01-10T20:49:00,27,,86,SCT:04 2 OVC:08 55,5.00,30,29
2015-01-10T20:51:00,27,0.00,88,SCT:04 2 OVC:08 60,5.00,30,29
2015-01-10T21:21:00,27,,88,BKN:07 3 BKN:07 41 OVC:08 50,2.50,30,29
2015-01-10T21:35:00,28,,92,OVC:08 2,4.00,30,29
2015-01-10T21:51:00,28,0.00,92,BKN:07 3 OVC:08 40,5.00,30,29
2015-01-10T21:57:00,28,,92,SCT:04 3 OVC:08 40,5.00,30,29
2015-01-10T22:51:00,28,0.00,89,OVC:08 37,7.00,31,30
2015-01-10T23:51:00,28,0.00,89,OVC:08 36,6.00,31,30
2015-01-10T23:59:00,,,,,,,
2015-01-11T00:51:00,29,T,92,OVC:08 32,5.00,31,30
2015-01-11T01:51:00,29,T,96,OVC:08 29,4.00,30,30
2015-01-11T01:57:00,29,,96,OVC:08 30,4.00,30,30
2015-01-11T02:08:00,29,T,92,OVC:08 29,4.00,31,30
2015-01-11T02:51:00,29,T,92,OVC:08 24,3.00,31,30
2015-01-11T03:08:00,29,T,92,OVC:08 23,2.50,31,30
2015-01-11T03:24:00,29,T,92,BKN:07 24 OVC:08 29,3.00,31,30
2015-01-11T03:32:00,29,T,92,BKN:07 29 OVC:08 40,2.50,31,30
2015-01-11T03:36:00,30,T,92,BKN:07 32 OVC:08 40,3.00,32,31
2015-01-11T03:43:00,30,T,92,FEW:02 30 OVC:08 38,3.00,32,31
2015-01-11T03:49:00,30,,93,FEW:02 30 BKN:07 38 OVC:08 47,4.00,32,31
2015-01-11T03:51:00,30,T,92,FEW:02 30 OVC:08 40,4.00,32,31
2015-01-11T04:39:00,30,T,92,FEW:02 20 SCT:04 29 OVC:08 43,4.00,32,31
2015-01-11T04:45:00,30,T,92,FEW:02 20 BKN:07 27 OVC:08 40,3.00,32,31
2015-01-11T04:51:00,30,T,92,BKN:07 29 OVC:08 45,4.00,32,31
2015-01-11T05:00:00,31,T,96,FEW:02 5 OVC:08 29,4.00,32,32
2015-01-11T05:11:00,31,T,96,BKN:07 4 OVC:08 28,3.00,32,32
2015-01-11T05:41:00,31,T,96,SCT:04 4 BKN:07 23 OVC:08 46,3.00,32,32
2015-01-11T05:51:00,31,T,96,BKN:07 4 OVC:08 30,3.00,32,32
2015-01-11T06:11:00,31,T,96,SCT:04 3 BKN:07 24 OVC:08 42,3.00,32,32
2015-01-11T06:26:00,30,T,92,FEW:02 3 SCT:04 24 OVC:08 42,4.00,32,31
2015-01-11T06:48:00,30,T,93,BKN:07 24 OVC:08 43,4.00,32,31
2015-01-11T06:51:00,31,T,96,BKN:07 24 OVC:08 43,4.00,32,32
2015-01-11T07:09:00,30,,92,SCT:04 24 OVC:08 41,4.00,32,31
2015-01-11T07:14:00,31,,96,BKN:07 24 OVC:08 42,4.00,32,32
2015-01-11T07:24:00,31,,96,SCT:04 25 OVC:08 44,3.00,32,32
2015-01-11T07:49:00,30,,93,BKN:07 38 OVC:08 48,3.00,32,31
2015-01-11T07:51:00,31,T,96,OVC:08 38,3.00,32,32
2015-01-11T08:04:00,31,T,96,OVC:08 38,3.00,32,32
2015-01-11T08:15:00,31,T,96,BKN:07 38 BKN:07 49 OVC:08 60,2.50,32,32
2015-01-11T08:51:00,31,T,96,OVC:08 35,2.50,32,32
2015-01-11T09:49:00,30,,87,OVC:08 60,3.00,34,32
2015-01-11T09:51:00,31,0.00,92,OVC:08 60,3.00,33,32
2015-01-11T10:06:00,32,,96,OVC:08 60,2.50,33,33
2015-01-11T10:22:00,32,,96,FEW:02 2 OVC:08 60,2.50,33,33
2015-01-11T10:33:00,32,,92,SCT:04 4 BKN:07 35 OVC:08 60,3.00,34,33
2015-01-11T10:38:00,32,,92,BKN:07 4 BKN:07 35 OVC:08 60,3.00,34,33
2015-01-11T10:51:00,31,0.00,89,BKN:07 3 OVC:08 35,2.50,34,33
2015-01-11T11:02:00,32,,92,SCT:04 3 BKN:07 35 OVC:08 55,2.50,34,33
2015-01-11T11:26:00,33,,97,SCT:04 3 OVC:08 60,3.00,34,34
2015-01-11T11:51:00,32,0.00,92,FEW:02 3 OVC:08 60,3.00,34,33
2015-01-11T12:13:00,33,,93,SCT:04 3 BKN:07 9 OVC:08 60,3.00,35,34
2015-01-11T12:51:00,33,0.00,89,FEW:02 6 BKN:07 37 OVC:08 60,3.00,36,35
2015-01-11T13:51:00,34,0.00,89,SCT:04 48 OVC:08 60,3.00,37,36
2015-01-11T14:32:00,35,,89,OVC:08 55,2.50,38,37
2015-01-11T14:49:00,36,,93,FEW:02 7 SCT:04 45 OVC:08 55,2.50,37,37
2015-01-11T14:51:00,35,T,89,FEW:02 7 BKN:07 47 OVC:08 60,2.50,38,37
2015-01-11T15:51:00,35,T,93,OVC:08 41,2.00,37,36
2015-01-11T16:02:00,35,,93,SCT:04 41 OVC:08 50,1.75,37,36
2015-01-11T16:51:00,35,T,97,SCT:04 34 OVC:08 45,1.50,36,36
2015-01-11T17:24:00,35,0.01,97,BKN:07 35 OVC:08 46,2.50,36,36
2015-01-11T17:51:00,35,0.01,97,BKN:07 46 OVC:08 65,2.00,36,36
2015-01-11T18:07:00,34,,96,FEW:02 28 BKN:07 47 OVC:08 60,1.50,35,35
2015-01-11T18:51:00,35,0.00,97,FEW:02 25 BKN:07 42 OVC:08 50,1.25,36,36
2015-01-11T19:01:00,35,,97,SCT:04 8 BKN:07 32 OVC:08 42,0.75,36,36
2015-01-11T19:09:00,35,,97,BKN:07 8 BKN:07 35 OVC:08 42,0.50,36,36
2015-01-11T19:49:00,34,,93,BKN:07 7 OVC:08 32,0.75,36,35
2015-01-11T19:51:00,34,0.01,96,SCT:04 7 OVC:08 32,0.75,35,35
2015-01-11T20:19:00,34,T,96,OVC:08 28,1.00,35,35
2015-01-11T20:45:00,34,T,96,OVC:08 29,0.75,35,35
2015-01-11T20:51:00,34,T,96,OVC:08 29,0.75,35,35
2015-01-11T21:32:00,34,,100,FEW:02 2 OVC:08 29,0.50,34,34
2015-01-11T21:38:00,33,,97,FEW:02 2 OVC:08 31,0.25,34,34
2015-01-11T21:51:00,34,0.00,96,FEW:02 2 OVC:08 31,0.75,35,35
2015-01-11T21:56:00,34,,100,FEW:02 2 OVC:08 33,1.00,34,34
2015-01-11T22:03:00,34,,100,FEW:02 2 BKN:07 33 OVC:08 46,0.75,34,34
2015-01-11T22:51:00,32,0.00,96,FEW:02 35 OVC:08 80,0.25,33,33
2015-01-11T23:49:00,34,,100,OVC:08 37,1.00,34,34
2015-01-11T23:51:00,33,0.00,97,OVC:08 37,1.00,34,34
2015-01-11T23:59:00,,,,,,,
